Quality;Description
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'MatthewLowton==1', 'AshleyBarnes==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'MatthewLowton==1', 'JackCork==1', 'JamesTarkowski==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'MatthewLowton==1', 'JackCork==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'MatthewLowton==1', 'JamesTarkowski==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'AshleyBarnes==1', 'JackCork==1', 'JamesTarkowski==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'AshleyBarnes==1', 'JackCork==1', 'KevinLong==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'AshleyBarnes==1', 'JackCork==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'AshleyBarnes==1', 'JackCork==1', 'JeffHendrick==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'AshleyBarnes==1', 'JamesTarkowski==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'ChrisWood==1', 'JackCork==1', 'JamesTarkowski==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'ChrisWood==1', 'JackCork==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'ChrisWood==1', 'JamesTarkowski==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'PhilBardsley==1', 'JackCork==1', 'JeffHendrick==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'StevenDefour==1', 'JackCork==1', 'JamesTarkowski==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'StevenDefour==1', 'JackCork==1', 'JeffHendrick==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'JackCork==1', 'JamesTarkowski==1', 'StephenWard==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'JackCork==1', 'JamesTarkowski==1', 'JeffHendrick==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'JackCork==1', 'KevinLong==1', 'JeffHendrick==1']
(0, '-', 0, '-', 0);['JohannBergGuðmundsson==1', 'JackCork==1', 'StephenWard==1', 'JeffHendrick==1']
