Quality;Description
(0.22369668246445498, '4-4-1-1', 0.023696682464454975, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'MatthewLowton==1', 'JamesTarkowski==1']
(0.22369668246445498, '4-4-1-1', 0.023696682464454975, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'MatthewLowton==1']
(0.21845018450184503, '4-4-1-1', 0.01845018450184502, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'JamesTarkowski==1', 'BenMee==1', 'JackCork==1']
(0.21845018450184503, '4-4-1-1', 0.01845018450184502, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'JamesTarkowski==1', 'BenMee==1']
(0.21742160278745645, '4-4-1-1', 0.017421602787456445, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'JamesTarkowski==1', 'JackCork==1']
(0.21742160278745645, '4-4-1-1', 0.017421602787456445, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'JamesTarkowski==1']
(0.2159744408945687, '4-4-1-1', 0.01597444089456869, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'BenMee==1', 'JackCork==1']
(0.2159744408945687, '4-4-1-1', 0.01597444089456869, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'BenMee==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'BenMee==1', 'RobbieBrady==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'BenMee==1', 'JohannBergGuðmundsson==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'JackCork==1', 'RobbieBrady==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'JackCork==1', 'JohannBergGuðmundsson==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'JamesTarkowski==1', 'RobbieBrady==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'JamesTarkowski==1', 'JohannBergGuðmundsson==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'MatthewLowton==1', 'RobbieBrady==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'MatthewLowton==1', 'JohannBergGuðmundsson==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'RobbieBrady==1', 'JohannBergGuðmundsson==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['RobbieBrady==1', 'SamVokes==1', 'JohannBergGuðmundsson==1', 'StephenWard==1', 'MatthewLowton==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'RobbieBrady==1']
(0.2157068062827225, '4-4-1-1', 0.015706806282722512, '4-4-2', -0.2);['StevenDefour==1', 'SamVokes==1', 'StephenWard==1', 'JohannBergGuðmundsson==1']
