Quality;Description
(0.11295574938553143, 'WUR', 0.6547884187082406, 'UR', 0.5418326693227091);['deck_LetterofAcceptance', 'deck_PigmentStorm', 'deck_HeatedDebate']
(0.11275673874099068, 'WBR', 0.6259842519685039, 'WR', 0.5132275132275133);['deck_ZephyrBoots', 'deck_RiseofExtus']
(0.11210027318013815, 'UGR', 0.6081632653061224, 'UR', 0.49606299212598426);['deck_Negate', 'deck_WormholeSerpent']
(0.11136507489978204, 'WUR', 0.5677966101694916, 'UR', 0.45643153526970953);['deck_SuddenBreakthrough', 'deck_FumingEffigy']
(0.11057692307692313, 'WUR', 0.6105769230769231, 'UR', 0.5);['deck_LetterofAcceptance', 'deck_BuryinBooks', 'deck_SpectacleMage']
(0.11050353155616321, 'WUR', 0.6017316017316018, 'UR', 0.49122807017543857);['deck_FirstDayofClass', 'deck_PrismariPledgemage', 'deck_RoothaMercurialArtist']
(0.11028325123152705, 'WBG', 0.6857142857142857, 'BG', 0.5754310344827587);['deck_AugmenterPugilist', 'deck_HuntforSpecimens']
(0.10988834628699828, 'WBG', 0.6820276497695853, 'BG', 0.572139303482587);['deck_ValentinDeanoftheVein', 'deck_ArrogantPoet']
(0.10942132729875764, 'WUR', 0.6280653950953679, 'WR', 0.5186440677966102);['deck_DraconicIntervention', 'deck_LoreholdCampus']
(0.10901108910471624, 'WUR', 0.6128133704735376, 'UR', 0.5038022813688213);['deck_FirstDayofClass', 'deck_ArcaneSubtraction']
(0.10889139991878394, 'WUR', 0.6291866028708134, 'UR', 0.5202952029520295);['deck_LetterofAcceptance', 'deck_BuryinBooks', 'deck_PrismariCampus']
(0.10883794466403163, 'WUR', 0.5968379446640316, 'UR', 0.488);['deck_FirstDayofClass', 'deck_PrismariPledgemage', 'deck_PillardropWarden']
(0.10875737300818744, 'WUR', 0.6188925081433225, 'UR', 0.5101351351351351);['deck_LetterofAcceptance', 'deck_CreativeOutburst', 'deck_PrismariCampus']
(0.1087089954306758, 'UBGR', 0.6774193548387096, 'UBG', 0.5687103594080338);['deck_ArchwayCommons', 'deck_CramSession']
(0.1086362860556408, 'UGR', 0.6774193548387096, 'UR', 0.5687830687830688);['deck_StrategicPlanning', 'deck_FrostTrickster', 'deck_PrismariCampus']
(0.10804207608521832, 'WUR', 0.6379821958456974, 'UR', 0.5299401197604791);['deck_LetterofAcceptance', 'deck_CreativeOutburst', 'deck_ElementalMasterpiece']
(0.10785510456496616, 'UBG', 0.6990291262135923, 'BG', 0.5911740216486261);['deck_SnakeskinVeil', 'deck_HuntforSpecimens']
(0.10752327996248412, 'UBG', 0.6837944664031621, 'BG', 0.576271186440678);['deck_ValentinDeanoftheVein', 'deck_FieldTrip', 'deck_MageDuel']
(0.10750208213210333, 'UBGR', 0.624031007751938, 'UR', 0.5165289256198347);['deck_ArchwayCommons', 'deck_SerpentineCurve']
(0.10745051158538732, 'UBG', 0.680672268907563, 'BG', 0.5732217573221757);['deck_SnakeskinVeil', 'deck_WitherbloomApprentice']
(0.1071428571428571, 'WUR', 0.6363636363636364, 'UR', 0.5292207792207793);['deck_LetterofAcceptance', 'deck_PigmentStorm', 'deck_SpectacleMage']
