Quality;Description
(0.18110236220472442, 'Gubr', 0.6811023622047244, 'Gub', 0.5);['deck_BlizzardBrawl', 'deck_PriestoftheHauntedEdge', 'deck_SnowCoveredForest']
(0.18110236220472442, 'Gubr', 0.6811023622047244, 'Gub', 0.5);['deck_PriestoftheHauntedEdge', 'deck_BlizzardBrawl', 'deck_SnowCoveredForest']
(0.18110236220472442, 'Gubr', 0.6811023622047244, 'Gub', 0.5);['deck_BlizzardBrawl', 'deck_SnowCoveredForest', 'deck_PriestoftheHauntedEdge']
(0.18110236220472442, 'Gubr', 0.6811023622047244, 'Gub', 0.5);['deck_SnowCoveredForest', 'deck_BlizzardBrawl', 'deck_PriestoftheHauntedEdge']
(0.1652380952380953, 'Gubr', 0.6366666666666667, 'Gub', 0.4714285714285714);['deck_GnottvoldRecluse', 'deck_GlitteringFrost', 'deck_IcehideTroll']
(0.1652380952380953, 'Gubr', 0.6366666666666667, 'Gub', 0.4714285714285714);['deck_GlitteringFrost', 'deck_GnottvoldRecluse', 'deck_IcehideTroll']
(0.16466043679495979, 'Gubr', 0.6575682382133995, 'Gub', 0.4929078014184397);['deck_GnottvoldRecluse', 'deck_GlitteringFrost', 'deck_SnowCoveredForest']
(0.16466043679495979, 'Gubr', 0.6575682382133995, 'Gub', 0.4929078014184397);['deck_GlitteringFrost', 'deck_GnottvoldRecluse', 'deck_SnowCoveredForest']
(0.16466043679495979, 'Gubr', 0.6575682382133995, 'Gub', 0.4929078014184397);['deck_GnottvoldRecluse', 'deck_SnowCoveredForest', 'deck_GlitteringFrost']
(0.16466043679495979, 'Gubr', 0.6575682382133995, 'Gub', 0.4929078014184397);['deck_SnowCoveredForest', 'deck_GnottvoldRecluse', 'deck_GlitteringFrost']
(0.15929193581058276, 'Gubr', 0.7102473498233216, 'Gub', 0.5509554140127388);['deck_TheTricksterGodsHeist', 'deck_SnowCoveredForest']
(0.15929193581058276, 'Gubr', 0.7102473498233216, 'Gub', 0.5509554140127388);['deck_SnowCoveredForest', 'deck_TheTricksterGodsHeist']
(0.15884985890824166, 'Gubr', 0.686046511627907, 'Gub', 0.5271966527196653);['deck_BlizzardBrawl', 'deck_PriestoftheHauntedEdge', 'deck_SnowCoveredSwamp']
(0.15884985890824166, 'Gubr', 0.686046511627907, 'Gub', 0.5271966527196653);['deck_PriestoftheHauntedEdge', 'deck_BlizzardBrawl', 'deck_SnowCoveredSwamp']
(0.15285471278405371, 'Gubr', 0.7079207920792079, 'Gub', 0.5550660792951542);['deck_TheTricksterGodsHeist', 'deck_SnowCoveredForest', 'deck_SnowCoveredSwamp']
(0.15285471278405371, 'Gubr', 0.7079207920792079, 'Gub', 0.5550660792951542);['deck_SnowCoveredForest', 'deck_TheTricksterGodsHeist', 'deck_SnowCoveredSwamp']
(0.15285471278405371, 'Gubr', 0.7079207920792079, 'Gub', 0.5550660792951542);['deck_TheTricksterGodsHeist', 'deck_SnowCoveredSwamp', 'deck_SnowCoveredForest']
(0.15285471278405371, 'Gubr', 0.7079207920792079, 'Gub', 0.5550660792951542);['deck_SnowCoveredSwamp', 'deck_TheTricksterGodsHeist', 'deck_SnowCoveredForest']
(0.1502525252525252, 'Gubr', 0.6388888888888888, 'Gub', 0.48863636363636365);['deck_GnottvoldRecluse', 'deck_GlitteringFrost', 'deck_SnowCoveredSwamp']
(0.1502525252525252, 'Gubr', 0.6388888888888888, 'Gub', 0.48863636363636365);['deck_GlitteringFrost', 'deck_GnottvoldRecluse', 'deck_SnowCoveredSwamp']
(0.1502525252525252, 'Gubr', 0.6388888888888888, 'Gub', 0.48863636363636365);['deck_GnottvoldRecluse', 'deck_SnowCoveredSwamp', 'deck_GlitteringFrost']
(0.1502525252525252, 'Gubr', 0.6388888888888888, 'Gub', 0.48863636363636365);['deck_SnowCoveredSwamp', 'deck_GnottvoldRecluse', 'deck_GlitteringFrost']
