Quality;Description
(0.15419993057965986, 'UGbr', 0.7325581395348837, 'UGr', 0.5783582089552238);['deck_AvalancheCaller', 'deck_Mistwalker']
(0.15419993057965986, 'UGbr', 0.7325581395348837, 'UGr', 0.5783582089552238);['deck_Mistwalker', 'deck_AvalancheCaller']
(0.15157285834968004, 'WUG', 0.7014218009478673, 'WU', 0.5498489425981873);['deck_SnowCoveredIsland', 'deck_LittjaraKinseekers']
(0.15157285834968004, 'WUG', 0.7014218009478673, 'WU', 0.5498489425981873);['deck_LittjaraKinseekers', 'deck_SnowCoveredIsland']
(0.14675166715597865, 'UGbr', 0.6777251184834123, 'UGr', 0.5309734513274337);['deck_IcebindPillar', 'deck_BeholdtheMultiverse', 'deck_SnowCoveredIsland']
(0.14675166715597865, 'UGbr', 0.6777251184834123, 'UGr', 0.5309734513274337);['deck_BeholdtheMultiverse', 'deck_IcebindPillar', 'deck_SnowCoveredIsland']
(0.14222669840688523, 'UBRG', 0.6186046511627907, 'UB', 0.4763779527559055);['deck_BergStrider', 'deck_SnowCoveredIsland', 'deck_Mistwalker']
(0.14222669840688523, 'UBRG', 0.6186046511627907, 'UB', 0.4763779527559055);['deck_SnowCoveredIsland', 'deck_BergStrider', 'deck_Mistwalker']
(0.14049019607843138, 'UGbr', 0.665, 'UGr', 0.5245098039215687);['deck_GiantsAmulet', 'deck_BergStrider']
(0.14049019607843138, 'UGbr', 0.665, 'UGr', 0.5245098039215687);['deck_BergStrider', 'deck_GiantsAmulet']
(0.13697522940141676, 'URG', 0.6003898635477583, 'UG', 0.4634146341463415);['deck_GlitteringFrost', 'deck_RimewoodFalls']
(0.13697522940141676, 'URG', 0.6003898635477583, 'UG', 0.4634146341463415);['deck_RimewoodFalls', 'deck_GlitteringFrost']
(0.13647418525467309, 'UBG', 0.5754985754985755, 'UB', 0.43902439024390244);['deck_BergStrider', 'deck_DraugrThoughtThief']
(0.1363522641981486, 'WBG', 0.7142857142857143, 'WB', 0.5779334500875657);['deck_StorySeeker', 'deck_SnowfieldSinkhole', 'deck_BoundinGold']
(0.13398692810457513, 'UGbr', 0.7222222222222222, 'UGr', 0.5882352941176471);['deck_AvalancheCaller', 'deck_SculptorofWinter', 'deck_SnowCoveredIsland']
(0.13380843578863377, 'UBRG', 0.599009900990099, 'UR', 0.4652014652014652);['deck_SnowCoveredMountain', 'deck_FrostpeakYeti', 'deck_SnowCoveredIsland']
(0.13380843578863377, 'UBRG', 0.599009900990099, 'UR', 0.4652014652014652);['deck_FrostpeakYeti', 'deck_SnowCoveredMountain', 'deck_SnowCoveredIsland']
(0.1295507605235232, 'URG', 0.6459143968871596, 'UR', 0.5163636363636364);['deck_PilferingHawk', 'deck_VolatileFjord', 'deck_LittjaraKinseekers']
