Quality;Description
(0.17915825384668937, 'UGwr', 0.7121771217712177, 'UGw', 0.5330188679245284);['deck_BrokenWings', 'deck_MaskedVandal']
(0.17915825384668937, 'UGwr', 0.7121771217712177, 'UGw', 0.5330188679245284);['deck_MaskedVandal', 'deck_BrokenWings']
(0.1557438637502087, 'BGur', 0.6415929203539823, 'BGu', 0.4858490566037736);['deck_BlizzardBrawl', 'deck_MaskedVandal']
(0.1557438637502087, 'BGur', 0.6415929203539823, 'BGu', 0.4858490566037736);['deck_MaskedVandal', 'deck_BlizzardBrawl']
(0.15496670366259702, 'UBG', 0.6691176470588235, 'UG', 0.5141509433962265);['deck_SnowCoveredIsland', 'deck_RimewoodFalls', 'deck_RavenousLindwurm']
(0.1483562213899292, 'UGwr', 0.6853932584269663, 'UGw', 0.5370370370370371);['deck_BrokenWings', 'deck_StruggleforSkemfar']
(0.1483562213899292, 'UGwr', 0.6853932584269663, 'UGw', 0.5370370370370371);['deck_StruggleforSkemfar', 'deck_BrokenWings']
(0.14650040225261463, 'UBG', 0.6283185840707964, 'UB', 0.4818181818181818);['deck_BergStrider', 'deck_FeedtheSerpent', 'deck_SnowCoveredIsland']
(0.14650040225261463, 'UBG', 0.6283185840707964, 'UB', 0.4818181818181818);['deck_FeedtheSerpent', 'deck_BergStrider', 'deck_SnowCoveredIsland']
(0.14650040225261463, 'UBG', 0.6283185840707964, 'UB', 0.4818181818181818);['deck_BergStrider', 'deck_SnowCoveredIsland', 'deck_FeedtheSerpent']
(0.14650040225261463, 'UBG', 0.6283185840707964, 'UB', 0.4818181818181818);['deck_SnowCoveredIsland', 'deck_BergStrider', 'deck_FeedtheSerpent']
(0.13972814036440762, 'UBG', 0.6324110671936759, 'UB', 0.4926829268292683);['deck_BergStrider', 'deck_RaisetheDraugr']
(0.13972814036440762, 'UBG', 0.6324110671936759, 'UB', 0.4926829268292683);['deck_RaisetheDraugr', 'deck_BergStrider']
(0.13676638116535167, 'UGwr', 0.6878612716763006, 'UGw', 0.551094890510949);['deck_BrokenWings', 'deck_SarulfsPackmate']
