Quality;Description
(0.16636437246963565, 'UBR', 0.636, 'UB', 0.46963562753036436);['deck_BindtheMonster', 'deck_BeholdtheMultiverse']
(0.16173879434800897, 'UBGr', 0.6077481840193705, 'UBr', 0.4460093896713615);['deck_KomasFaithful']
(0.15637088497671103, 'UBR', 0.6610878661087866, 'UB', 0.5047169811320755);['deck_BergStrider', 'deck_BeholdtheMultiverse', 'deck_SnowCoveredIsland']
(0.15144255380142113, 'URG', 0.7085201793721974, 'RG', 0.5570776255707762);['deck_SculptorofWinter', 'deck_FynntheFangbearer']
(0.1490182802979011, 'UGwr', 0.7061611374407583, 'UGr', 0.5571428571428572);['deck_JasperaSentinel', 'deck_BeholdtheMultiverse']
(0.14519334704836284, 'UGwr', 0.6638655462184874, 'UGr', 0.5186721991701245);['deck_MoritteoftheFrost', 'deck_BeholdtheMultiverse']
(0.14378361278076568, 'UGwr', 0.6896551724137931, 'UGr', 0.5458715596330275);['deck_Mistwalker', 'deck_SculptorofWinter', 'deck_BeholdtheMultiverse']
(0.14369230769230767, 'UGbr', 0.6676923076923077, 'UGr', 0.524);['deck_SarulfsPackmate', 'deck_VolatileFjord']
(0.14153587443946192, 'UGbr', 0.7040358744394619, 'UGr', 0.5625);['deck_SarulfsPackmate', 'deck_LittjaraMirrorlake', 'deck_Mistwalker']
(0.14057285873192438, 'UGwr', 0.6491935483870968, 'UGr', 0.5086206896551724);['deck_MoritteoftheFrost', 'deck_BergStrider']
(0.13977920227920226, 'UBR', 0.6157407407407407, 'UB', 0.47596153846153844);['deck_MistsofLittjara']
(0.13675490143224256, 'UGwr', 0.6593886462882096, 'UGr', 0.522633744855967);['deck_BergStrider', 'deck_ShimmerdriftVale']
(0.13596631916599833, 'UGbr', 0.6790697674418604, 'UGr', 0.5431034482758621);['deck_LittjaraKinseekers', 'deck_SarulfsPackmate']
(0.13003347363536932, 'UGbr', 0.6608391608391608, 'UGr', 0.5308056872037915);['deck_MoritteoftheFrost', 'deck_SarulfsPackmate']
(0.12759431210095518, 'UGwr', 0.6591928251121076, 'UGr', 0.5315985130111525);['deck_MoritteoftheFrost', 'deck_Mistwalker']
(0.12692307692307692, 'UGwr', 0.6602564102564102, 'UGr', 0.5333333333333333);['deck_BergStrider', 'deck_VolatileFjord']
(0.12567481279387016, 'UGwr', 0.6583850931677019, 'UGr', 0.5327102803738317);['deck_SculptorofWinter', 'deck_IcehideTroll']
(0.12332906530089627, 'UGwr', 0.676056338028169, 'UGr', 0.5527272727272727);['deck_RavenousLindwurm', 'deck_MaskedVandal']
(0.12212475633528264, 'UBGr', 0.6703703703703704, 'UGr', 0.5482456140350878);['deck_Mistwalker', 'deck_RavenousLindwurm', 'deck_SnowCoveredIsland']
(0.12097607655502396, 'UGbr', 0.676, 'UGr', 0.5550239234449761);['deck_SarulfsPackmate', 'deck_HighlandForest']
(0.11856007480130903, 'UGbr', 0.6927536231884058, 'UGr', 0.5741935483870968);['deck_SarulfsPackmate', 'deck_LittjaraMirrorlake']
(0.118526937940441, 'URG', 0.6679245283018868, 'UR', 0.5493975903614458);['deck_LittjaraKinseekers', 'deck_PilferingHawk']
(0.11804454692478905, 'UGwr', 0.6653696498054474, 'UGr', 0.5473251028806584);['deck_Mistwalker', 'deck_SculptorofWinter', 'deck_SnowCoveredIsland']
(0.11679642788336225, 'UBRG', 0.6019900497512438, 'UBG', 0.48519362186788156);['deck_ShimmerdriftVale', 'deck_PilferingHawk']
(0.11630894236083111, 'UGwr', 0.6770025839793282, 'UGr', 0.5606936416184971);['deck_JasperaSentinel']
(0.11566923786805028, 'UBR', 0.6255506607929515, 'UB', 0.5098814229249012);['deck_BeholdtheMultiverse', 'deck_DeparttheRealm']
