Quality;Description
(0.20861192068118173, 'UBRG', 0.6384364820846905, 'UB', 0.4298245614035088);['deck_ShimmerdriftVale', 'deck_NarfiBetrayerKing', 'deck_SnowCoveredSwamp']
(0.20310409419320313, 'UBRG', 0.6486486486486487, 'UB', 0.44554455445544555);['deck_ShimmerdriftVale', 'deck_NarfiBetrayerKing', 'deck_SnowCoveredIsland']
(0.2008598130841121, 'UBRG', 0.6448598130841121, 'UB', 0.444);['deck_ShimmerdriftVale', 'deck_Mistwalker', 'deck_BergStrider']
(0.17729591836734693, 'UBRG', 0.608843537414966, 'UB', 0.43154761904761907);['deck_ShimmerdriftVale', 'deck_GrimDraugr']
(0.17142857142857137, 'UBRG', 0.6714285714285714, 'UB', 0.5);['deck_PilferingHawk', 'deck_NarfiBetrayerKing']
(0.17094861660079053, 'UBRG', 0.616600790513834, 'UB', 0.44565217391304346);['deck_ShimmerdriftVale', 'deck_GrimDraugr', 'deck_SnowCoveredSwamp']
(0.17054693274205468, 'UBRG', 0.6136363636363636, 'UB', 0.44308943089430897);['deck_ShimmerdriftVale', 'deck_NarfiBetrayerKing']
(0.1631922034335872, 'UBRG', 0.6181102362204725, 'UB', 0.45491803278688525);['deck_ShimmerdriftVale', 'deck_IceTunnel', 'deck_SnowCoveredIsland']
(0.16113332174517642, 'UBRG', 0.615678776290631, 'UB', 0.45454545454545453);['deck_ShimmerdriftVale', 'deck_IceTunnel']
(0.15833333333333338, 'UBRG', 0.6090909090909091, 'UB', 0.45075757575757575);['deck_ShimmerdriftVale', 'deck_GrimDraugr', 'deck_SnowCoveredIsland']
(0.15789167828916784, 'UBG', 0.5972222222222222, 'UB', 0.4393305439330544);['deck_BergStrider', 'deck_DraugrThoughtThief', 'deck_BeholdtheMultiverse']
(0.15183988653376407, 'UBRG', 0.6151603498542274, 'UB', 0.46332046332046334);['deck_ShimmerdriftVale', 'deck_IceTunnel', 'deck_SnowCoveredSwamp']
(0.14935899985416745, 'UBG', 0.6130268199233716, 'UB', 0.46366782006920415);['deck_IngaRuneEyes', 'deck_BindtheMonster']
(0.14843674843674837, 'UBRG', 0.6592592592592592, 'UB', 0.5108225108225108);['deck_GlimpsetheCosmos', 'deck_BergStrider']
(0.14807313642756686, 'UBR', 0.5911111111111111, 'UB', 0.4430379746835443);['deck_PriestoftheHauntedEdge', 'deck_BindtheMonster']
(0.1464987714987715, 'UBG', 0.6363636363636364, 'UB', 0.48986486486486486);['deck_GlimpsetheCosmos', 'deck_FeedtheSerpent']
(0.14610234337637495, 'WUBG', 0.6176470588235294, 'WUB', 0.4715447154471545);['deck_IcebindPillar', 'deck_SnowCoveredSwamp']
(0.14516849748650157, 'UBR', 0.6146341463414634, 'UB', 0.46946564885496184);['deck_IcebindPillar', 'deck_BergStrider', 'deck_SnowCoveredIsland']
(0.14413429631075542, 'UBRG', 0.6100917431192661, 'UB', 0.46595744680851064);['deck_ShimmerdriftVale', 'deck_Mistwalker']
(0.13850811725354656, 'UBG', 0.6104553119730185, 'UB', 0.47194719471947194);['deck_IcebindPillar', 'deck_SnowCoveredSwamp', 'deck_BergStrider']
(0.13667766776677664, 'UBG', 0.5822222222222222, 'UB', 0.44554455445544555);['deck_BrinebarrowIntruder', 'deck_BergStrider']
(0.13504775353970794, 'UBG', 0.5857519788918206, 'UB', 0.4507042253521127);['deck_RunAshore', 'deck_DisdainfulStroke']
(0.1349924585218703, 'UBG', 0.6153846153846154, 'UB', 0.4803921568627451);['deck_IngaRuneEyes', 'deck_BergStrider', 'deck_BeholdtheMultiverse']
(0.13472755296322048, 'UBG', 0.6009852216748769, 'UB', 0.4662576687116564);['deck_IcebindPillar', 'deck_BergStrider']
(0.1340730466944059, 'UBG', 0.5952380952380952, 'UB', 0.46116504854368934);['deck_IngaRuneEyes', 'deck_PilferingHawk']
(0.13290346352247606, 'UBG', 0.5720338983050848, 'UB', 0.4391304347826087);['deck_GiantsAmulet', 'deck_PortofKarfell']
(0.13138040238450072, 'UBG', 0.5717213114754098, 'UB', 0.4403409090909091);['deck_BergStrider', 'deck_DraugrThoughtThief']
(0.13120285195913034, 'UBG', 0.5694050991501416, 'UB', 0.43820224719101125);['deck_BergStrider', 'deck_DraugrThoughtThief', 'deck_SnowCoveredSwamp']
(0.13104967052629762, 'UBR', 0.6063348416289592, 'UB', 0.4752851711026616);['deck_ShimmerdriftVale', 'deck_Mistwalker', 'deck_AuguryRaven']
(0.12962962962962965, 'UBG', 0.5833333333333334, 'UB', 0.4537037037037037);['deck_ShimmerdriftVale', 'deck_Mistwalker', 'deck_WeighDown']
(0.12896825396825395, 'UBRG', 0.6051587301587301, 'UB', 0.47619047619047616);['deck_ShimmerdriftVale', 'deck_PriestoftheHauntedEdge', 'deck_SnowCoveredSwamp']
(0.1286178363469201, 'UBG', 0.5907692307692308, 'UB', 0.46215139442231074);['deck_IngaRuneEyes', 'deck_BergStrider', 'deck_SnowCoveredSwamp']
(0.12843926468821332, 'UBGw', 0.6650246305418719, 'BGw', 0.5365853658536586);['deck_FeedtheSerpent', 'deck_SculptorofWinter']
(0.12833746574448646, 'UBG', 0.6061855670103092, 'UB', 0.4778481012658228);['deck_IngaRuneEyes', 'deck_BergStrider']
(0.12798408488063662, 'UBR', 0.5702917771883289, 'UB', 0.4423076923076923);['deck_ShimmerdriftVale', 'deck_LittjaraKinseekers']
(0.1271955719557195, 'UBG', 0.57, 'UB', 0.44280442804428044);['deck_BergStrider', 'deck_DraugrThoughtThief', 'deck_SnowCoveredIsland']
(0.12653584371961463, 'UBG', 0.5894988066825776, 'UB', 0.46296296296296297);['deck_IngaRuneEyes', 'deck_PriestoftheHauntedEdge']
(0.1264125917410911, 'UBR', 0.6093023255813953, 'UB', 0.4828897338403042);['deck_BindtheMonster', 'deck_SnowCoveredIsland', 'deck_BeholdtheMultiverse']
(0.12627710722692442, 'UBR', 0.600609756097561, 'UB', 0.47433264887063653);['deck_BindtheMonster', 'deck_SnowCoveredIsland']
(0.12614640373568053, 'UGbr', 0.698961937716263, 'UGb', 0.5728155339805825);['deck_WoodlandChasm', 'deck_SnowCoveredIsland']
(0.12425709883337, 'WUB', 0.559322033898305, 'UB', 0.43506493506493504);['deck_ShimmerdriftVale', 'deck_JarloftheForsaken']
(0.12369963369963366, 'UBRG', 0.6336996336996337, 'UR', 0.51);['deck_VolatileFjord', 'deck_IceTunnel', 'deck_BergStrider']
(0.12259005580923388, 'UBG', 0.6157407407407407, 'UB', 0.4931506849315068);['deck_BrinebarrowIntruder', 'deck_Mistwalker']
(0.12231578947368421, 'UBG', 0.596, 'UB', 0.47368421052631576);['deck_RunAshore', 'deck_DraugrThoughtThief']
(0.12227155012948576, 'WUG', 0.6320754716981132, 'WU', 0.5098039215686274);['deck_ShimmerdriftVale', 'deck_Mistwalker', 'deck_SnowCoveredIsland']
(0.12225983236621529, 'UBR', 0.5957446808510638, 'UB', 0.4734848484848485);['deck_ShimmerdriftVale', 'deck_PriestoftheHauntedEdge', 'deck_SnowCoveredIsland']
(0.1221962356609867, 'UBRG', 0.639269406392694, 'UBR', 0.5170731707317073);['deck_ShimmerdriftVale', 'deck_SeizetheSpoils']
(0.1218828275663334, 'UBG', 0.6065989847715736, 'UB', 0.4847161572052402);['deck_RunAshore', 'deck_PortofKarfell']
