Quality;Description
(0.21848739495798325, 'BRU', 0.6470588235294118, 'BU', 0.42857142857142855);['deck_power_1==1', 'deck_types_Artifact==0', 'deck_power_5==0']
(0.21607744107744115, 'BGRU', 0.6342592592592593, 'BU', 0.41818181818181815);['deck_power_3==2', 'deck_GiantsAmulet', 'deck_types_Planeswalker==0']
(0.21607744107744115, 'BGRU', 0.6342592592592593, 'BU', 0.41818181818181815);['deck_GiantsAmulet', 'deck_power_3==2', 'deck_types_Planeswalker==0']
(0.21599009302887517, 'BUG', 0.6317204301075269, 'BU', 0.4157303370786517);['deck_toughness_6==1', 'deck_power_1==1', 'deck_toughness_3==1']
(0.21599009302887517, 'BUG', 0.6317204301075269, 'BU', 0.4157303370786517);['deck_power_1==1', 'deck_toughness_6==1', 'deck_toughness_3==1']
(0.21400110680686213, 'BURG', 0.6384615384615384, 'BU', 0.4244604316546763);['deck_toughness_6==1', 'deck_power_1==1', 'deck_power_6==0']
(0.21400110680686213, 'BURG', 0.6384615384615384, 'BU', 0.4244604316546763);['deck_power_1==1', 'deck_toughness_6==1', 'deck_power_6==0']
(0.2139616820467884, 'BUG', 0.6516516516516516, 'BU', 0.4376899696048632);['deck_toughness_6==1', 'deck_power_1==1', 'deck_toughness_5==0']
(0.2139616820467884, 'BUG', 0.6516516516516516, 'BU', 0.4376899696048632);['deck_power_1==1', 'deck_toughness_6==1', 'deck_toughness_5==0']
(0.21348984288339595, 'BURG', 0.629757785467128, 'BU', 0.41626794258373206);['deck_toughness_2==2', 'deck_power_0==1', 'deck_types_Instant==1']
(0.21348984288339595, 'BURG', 0.629757785467128, 'BU', 0.41626794258373206);['deck_power_0==1', 'deck_toughness_2==2', 'deck_types_Instant==1']
(0.2132930420910541, 'WBUG', 0.6227758007117438, 'BU', 0.40948275862068967);['deck_toughness_2==2', 'deck_power_1==1', 'deck_power_3==2']
(0.2132930420910541, 'WBUG', 0.6227758007117438, 'BU', 0.40948275862068967);['deck_power_1==1', 'deck_toughness_2==2', 'deck_power_3==2']
(0.21273964131106993, 'WBUG', 0.6326530612244898, 'BU', 0.4199134199134199);['deck_power_5==1', 'deck_power_4==1', 'deck_toughness_7==0']
(0.21273964131106993, 'WBUG', 0.6326530612244898, 'BU', 0.4199134199134199);['deck_power_4==1', 'deck_power_5==1', 'deck_toughness_7==0']
(0.21273964131106993, 'WBUG', 0.6326530612244898, 'BU', 0.4199134199134199);['deck_power_5==1', 'deck_toughness_7==0', 'deck_power_4==1']
(0.21251102579398468, 'BURG', 0.6268412438625205, 'BU', 0.4143302180685358);['deck_toughness_2==2', 'deck_power_1==1', 'deck_toughness_5==0']
(0.21251102579398468, 'BURG', 0.6268412438625205, 'BU', 0.4143302180685358);['deck_power_1==1', 'deck_toughness_2==2', 'deck_toughness_5==0']
(0.21246736292428198, 'BURG', 0.625, 'BU', 0.412532637075718);['deck_power_1==1', 'deck_BergStrider', 'deck_toughness_1==1']
(0.21246736292428198, 'BURG', 0.625, 'BU', 0.412532637075718);['deck_BergStrider', 'deck_power_1==1', 'deck_toughness_1==1']
(0.21215596330275227, 'WBUG', 0.625, 'BU', 0.41284403669724773);['deck_power_5==1', 'deck_toughness_7==0', 'deck_toughness_4==1']
(0.21133227826939793, 'WBUG', 0.6502463054187192, 'BU', 0.43891402714932126);['deck_toughness_6==1', 'deck_power_3==2', 'deck_power_1==1']
(0.21133227826939793, 'WBUG', 0.6502463054187192, 'BU', 0.43891402714932126);['deck_power_3==2', 'deck_toughness_6==1', 'deck_power_1==1']
(0.21133227826939793, 'WBUG', 0.6502463054187192, 'BU', 0.43891402714932126);['deck_toughness_6==1', 'deck_power_1==1', 'deck_power_3==2']
(0.21133227826939793, 'WBUG', 0.6502463054187192, 'BU', 0.43891402714932126);['deck_power_1==1', 'deck_toughness_6==1', 'deck_power_3==2']
