Quality;Description
(0.14638738850176614, 'UBW', 0.5472312703583062, 'UB', 0.4008438818565401);['deck_JarloftheForsaken_1', 'deck_ShimmerdriftVale_1']
(0.14592916060164968, 'UBWG', 0.6044444444444445, 'UB', 0.4585152838427948);['deck_BindtheMonster_1', 'deck_AuguryRaven_1']
(0.14592916060164968, 'UBWG', 0.6044444444444445, 'UB', 0.4585152838427948);['deck_AuguryRaven_1', 'deck_BindtheMonster_1']
(0.14400943632987, 'UBG', 0.5850574712643678, 'UB', 0.4410480349344978);['deck_ShimmerdriftVale_1', 'deck_RaisetheDraugr_1']
(0.14400943632987, 'UBG', 0.5850574712643678, 'UB', 0.4410480349344978);['deck_RaisetheDraugr_1', 'deck_ShimmerdriftVale_1']
(0.143283184662495, 'URGB', 0.5984555984555985, 'URB', 0.45517241379310347);['deck_BrinebarrowIntruder_1']
(0.14294041654850803, 'UBWG', 0.6241610738255033, 'UB', 0.4812206572769953);['deck_KingNarfisBetrayal_1']
(0.14212454212454212, 'UBWG', 0.6, 'UB', 0.45787545787545786);['deck_SnowCoveredIsland_1', 'deck_BergStrider_1']
(0.14212454212454212, 'UBWG', 0.6, 'UB', 0.45787545787545786);['deck_BergStrider_1', 'deck_SnowCoveredIsland_1']
(0.14148532361377697, 'UBRG', 0.6092964824120602, 'UB', 0.4678111587982833);['deck_ShimmerdriftVale_1', 'deck_SnowCoveredIsland_1']
(0.14148532361377697, 'UBRG', 0.6092964824120602, 'UB', 0.4678111587982833);['deck_SnowCoveredIsland_1', 'deck_ShimmerdriftVale_1']
(0.14095427950085426, 'URGB', 0.6432584269662921, 'UB', 0.5023041474654378);['deck_RunAshore_1', 'deck_BeholdtheMultiverse_1']
(0.14095427950085426, 'URGB', 0.6432584269662921, 'UB', 0.5023041474654378);['deck_BeholdtheMultiverse_1', 'deck_RunAshore_1']
(0.1407629135006523, 'UBRG', 0.6589147286821705, 'UB', 0.5181518151815182);['deck_BeholdtheMultiverse_1', 'deck_AuguryRaven_1']
(0.1407629135006523, 'UBRG', 0.6589147286821705, 'UB', 0.5181518151815182);['deck_AuguryRaven_1', 'deck_BeholdtheMultiverse_1']
(0.13966793476658113, 'UBRG', 0.6377952755905512, 'UB', 0.49812734082397003);['deck_SnowCoveredIsland_1', 'deck_KomasFaithful_1']
(0.13966793476658113, 'UBRG', 0.6377952755905512, 'UB', 0.49812734082397003);['deck_KomasFaithful_1', 'deck_SnowCoveredIsland_1']
(0.13896103896103895, 'UBG', 0.5818181818181818, 'UB', 0.44285714285714284);['deck_BergStrider_1', 'deck_RaisetheDraugr_1']
(0.13896103896103895, 'UBG', 0.5818181818181818, 'UB', 0.44285714285714284);['deck_RaisetheDraugr_1', 'deck_BergStrider_1']
(0.13873489694385222, 'URWG', 0.681592039800995, 'UG', 0.5428571428571428);['deck_IcebindPillar_1', 'deck_MaskedVandal_1']
(0.13860620027250248, 'URWG', 0.6951672862453532, 'URW', 0.5565610859728507);['deck_IcebindPillar_1', 'deck_SnowCoveredPlains_1']
(0.13820747746416429, 'UWG', 0.667910447761194, 'UW', 0.5297029702970297);['deck_BeholdtheMultiverse_1', 'deck_SnowCoveredPlains_1']
(0.13668263715500373, 'UBRG', 0.6095890410958904, 'UB', 0.4729064039408867);['deck_ShimmerdriftVale_1', 'deck_PriestoftheHauntedEdge_1']
(0.13668263715500373, 'UBRG', 0.6095890410958904, 'UB', 0.4729064039408867);['deck_PriestoftheHauntedEdge_1', 'deck_ShimmerdriftVale_1']
(0.13605655930871952, 'BRG', 0.6982456140350877, 'RG', 0.5621890547263682);['deck_SeizetheSpoils_1', 'deck_RavenousLindwurm_1']
(0.13284117450784116, 'UBRG', 0.595679012345679, 'UB', 0.46283783783783783);['deck_ShimmerdriftVale_1', 'deck_FeedtheSerpent_1']
(0.13284117450784116, 'UBRG', 0.595679012345679, 'UB', 0.46283783783783783);['deck_FeedtheSerpent_1', 'deck_ShimmerdriftVale_1']
