Quality;Description
(0.23640720302062157, 'UBWG', 0.6773162939297125, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1', 'deck_MoritteoftheFrost_0', 'deck_HighlandForest_0']
(0.234422846491812, 'UBWG', 0.6600985221674877, 'UBW', 0.42567567567567566);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_BorealOutrider_0']
(0.23432432432432437, 'UBWG', 0.66, 'UBW', 0.42567567567567566);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_RuneofMight_0']
(0.2331002331002331, 'UBWG', 0.6666666666666666, 'UBW', 0.43356643356643354);['deck_DraugrRecruiter_1', 'deck_ShepherdoftheCosmos_0', 'deck_TergridsShadow_0']
(0.2331002331002331, 'UBWG', 0.6666666666666666, 'UBW', 0.43356643356643354);['deck_DraugrRecruiter_1', 'deck_TergridsShadow_0', 'deck_ShepherdoftheCosmos_0']
(0.23295454545454547, 'UBWG', 0.6458333333333334, 'UBW', 0.4128787878787879);['deck_DraugrRecruiter_1', 'deck_StalwartValkyrie_0', 'deck_Doomskar_0']
(0.23295454545454547, 'UBWG', 0.6458333333333334, 'UBW', 0.4128787878787879);['deck_DraugrRecruiter_1', 'deck_Doomskar_0', 'deck_StalwartValkyrie_0']
(0.23245176866679956, 'UBWG', 0.6532438478747203, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0', 'deck_TheBearsofLittjara_0']
(0.23245176866679956, 'UBWG', 0.6532438478747203, 'UBW', 0.4207920792079208);['deck_FrostpyreArcanist_0', 'deck_VolatileFjord_1', 'deck_TheBearsofLittjara_0']
(0.23245176866679956, 'UBWG', 0.6532438478747203, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_TheBearsofLittjara_0', 'deck_FrostpyreArcanist_0']
(0.23243693975401292, 'UBWG', 0.6341463414634146, 'UBW', 0.4017094017094017);['deck_DraugrRecruiter_1', 'deck_StarnheimCourser_0', 'deck_KarfellKennelMaster_0']
(0.23243693975401292, 'UBWG', 0.6341463414634146, 'UBW', 0.4017094017094017);['deck_DraugrRecruiter_1', 'deck_KarfellKennelMaster_0', 'deck_StarnheimCourser_0']
