Quality;Description
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'HéctorBellerínMoruno==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'PetrČech==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'PetrČech==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'LaurentKoscielny==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'AlexandreLacazette==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'AlexandreLacazette==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'ShkodranMustafi==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'ShkodranMustafi==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'HéctorBellerínMoruno==1', 'ShkodranMustafi==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'HéctorBellerínMoruno==1', 'IgnacioMonrealEraso==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'HéctorBellerínMoruno==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'HéctorBellerínMoruno==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'HéctorBellerínMoruno==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'HéctorBellerínMoruno==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'IgnacioMonrealEraso==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'IgnacioMonrealEraso==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'LaurentKoscielny==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'LaurentKoscielny==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'LaurentKoscielny==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'MesutÖzil==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'MesutÖzil==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'MesutÖzil==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'SeadKolašinac==1', 'ShkodranMustafi==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'SeadKolašinac==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'SeadKolašinac==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'SeadKolašinac==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'AlexandreLacazette==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'AlexandreLacazette==1', 'IgnacioMonrealEraso==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'HéctorBellerínMoruno==1', 'IgnacioMonrealEraso==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'HéctorBellerínMoruno==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'HéctorBellerínMoruno==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'HéctorBellerínMoruno==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'IgnacioMonrealEraso==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'PetrČech==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'PetrČech==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'PetrČech==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'MesutÖzil==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'MesutÖzil==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'SeadKolašinac==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'AlexandreLacazette==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'MesutÖzil==1', 'HéctorBellerínMoruno==1', 'PetrČech==1']
